Wavelength(nm)	n	k
190.77	1.0131	1.4269
192.25	1.0121	1.4427
193.75	1.01	1.46
195.28	1.0073	1.4785
196.83	1.0044	1.4981
198.4	1.0018	1.5187
200	1	1.54
201.63	1.0015	1.5644
203.28	1.0038	1.5883
204.96	1.0068	1.6105
206.67	1.01	1.63
208.4	1.0131	1.6456
210.17	1.02	1.67
211.97	1.0294	1.6994
213.79	1.04	1.73
215.65	1.0494	1.7556
217.54	1.06	1.78
219.47	1.0744	1.805
221.43	1.09	1.83
223.42	1.1044	1.8544
225.45	1.12	1.88
227.52	1.1388	1.91
229.63	1.16	1.94
231.78	1.1838	1.9656
233.96	1.21	1.99
236.19	1.2394	2.0163
238.46	1.27	2.04
240.78	1.2994	2.0563
243.14	1.33	2.07
245.54	1.3644	2.0863
248	1.4	2.1
250.51	1.4356	2.1069
253.06	1.47	2.11
255.67	1.5006	2.1113
258.33	1.53	2.11
261.05	1.5613	2.1056
263.83	1.59	2.1
266.67	1.6113	2.0956
269.57	1.63	2.09
272.53	1.65	2.08
275.56	1.67	2.07
278.65	1.6913	2.0656
281.82	1.71	2.06
285.06	1.7219	2.0456
288.37	1.73	2.03
291.76	1.7363	2.0188
295.24	1.74	2.01
298.8	1.7413	2.005
302.44	1.74	2
306.17	1.7356	1.9894
310	1.73	1.98
313.92	1.7263	1.9781
317.95	1.72	1.98
322.08	1.7063	1.9831
326.32	1.69	1.99
330.67	1.6744	2.0025
335.14	1.66	2.02
339.73	1.6488	2.0444
344.44	1.64	2.07
349.3	1.6344	2.0894
354.29	1.63	2.11
359.42	1.625	2.1388
364.71	1.62	2.17
370.15	1.6144	2.1994
375.76	1.61	2.23
381.54	1.6094	2.265
387.5	1.61	2.3
393.65	1.61	2.3294
400	1.61	2.36
406.56	1.6094	2.3988
413.33	1.61	2.44
420.34	1.6144	2.4794
427.59	1.62	2.52
435.09	1.625	2.5638
442.86	1.63	2.61
450.91	1.635	2.6594
459.26	1.64	2.71
467.92	1.6444	2.7588
476.92	1.65	2.81
486.27	1.6581	2.8681
496	1.67	2.93
506.12	1.6888	2.9944
516.67	1.71	3.06
527.66	1.7294	3.1244
539.13	1.75	3.19
551.11	1.7744	3.2588
563.64	1.8	3.33
576.74	1.8238	3.4031
590.48	1.85	3.48
604.88	1.8819	3.5638
620	1.92	3.65
635.9	1.9669	3.7338
652.63	2.02	3.82
670.27	2.0775	3.915
688.89	2.14	4.01
708.57	2.2081	4.0988
729.41	2.28	4.18
751.52	2.3575	4.2456
775	2.43	4.31
800	2.4819	4.3881
826.67	2.53	4.47
855.17	2.5906	4.5463
885.71	2.65	4.63
918.52	2.6956	4.7344
953.85	2.74	4.85
992	2.7931	4.9713
1033.33	2.85	5.1
1078.26	2.9113	5.2331
1127.27	2.97	5.38
1180.95	3.0213	5.5469
1240	3.06	5.74
1305.26	3.11	5.98
1377.78	3.18	6.23
1458.82	3.27	6.51
1550	3.38	6.82
1653.33	3.49	7.13
1771.43	3.59	7.48
1907.69	3.69	7.92
2066.67	3.84	8.35
2254.55	3.9	8.92
2480	4.03	9.64
