Wavelength(nm)	n	k
380	1.5159	0
405	1.5137	0
430	1.5116	0
455	1.5096	0
480	1.5078	0
505	1.5061	0
530	1.5046	0
555	1.5033	0
580	1.502	0
605	1.5009	0
630	1.4999	0
655	1.4989	0
680	1.4981	0
705	1.4973	0
730	1.4966	0
755	1.496	0
780	1.4954	0
805	1.4948	0
830	1.4943	0
855	1.4939	0
880	1.4935	0
905	1.4931	0
930	1.4927	0
955	1.4924	0
980	1.4921	0
1005	1.4918	0
1030	1.4915	0
1055	1.4912	0
1080	1.491	0
1105	1.4908	0
1130	1.4906	0
1155	1.4904	0
1180	1.4902	0
1205	1.49	0
1230	1.4898	0
1255	1.4897	0
1280	1.4895	0
1305	1.4894	0
1330	1.4893	0
1355	1.4892	0
1380	1.489	0
1405	1.4889	0
1430	1.4888	0
1455	1.4887	0
1480	1.4886	0
1505	1.4885	0
1530	1.4885	0
1555	1.4884	0
1580	1.4883	0
1605	1.4882	0
1630	1.4881	0
1655	1.4881	0
1680	1.488	0
1700	1.488	0
