Wavelength(nm)	n	k
200	1.6479	0
205	1.641	0
210	1.6347	0
215	1.629	0
220	1.6238	0
225	1.6191	0
230	1.6147	0
235	1.6107	0
240	1.607	0
245	1.6035	0
250	1.6003	0
255	1.5974	0
260	1.5946	0
265	1.5921	0
270	1.5897	0
275	1.5874	0
280	1.5853	0
285	1.5833	0
290	1.5814	0
295	1.5797	0
300	1.578	0
305	1.5765	0
310	1.575	0
315	1.5736	0
320	1.5722	0
325	1.571	0
330	1.5698	0
335	1.5686	0
340	1.5676	0
345	1.5665	0
350	1.5655	0
355	1.5646	0
360	1.5637	0
365	1.5628	0
370	1.562	0
375	1.5612	0
380	1.5605	0
385	1.5597	0
390	1.559	0
395	1.5584	0
400	1.5577	0
405	1.5571	0
410	1.5565	0
415	1.5559	0
420	1.5554	0
425	1.5549	0
430	1.5544	0
435	1.5539	0
440	1.5534	0
445	1.5529	0
450	1.5525	0
455	1.5521	0
460	1.5516	0
465	1.5512	0
470	1.5508	0
475	1.5505	0
480	1.5501	0
485	1.5497	0
490	1.5494	0
495	1.5491	0
500	1.5487	0
505	1.5484	0
510	1.5481	0
515	1.5478	0
520	1.5475	0
525	1.5472	0
530	1.547	0
535	1.5467	0
540	1.5464	0
545	1.5462	0
550	1.5459	0
555	1.5457	0
560	1.5455	0
565	1.5452	0
570	1.545	0
575	1.5448	0
580	1.5446	0
585	1.5444	0
590	1.5442	0
595	1.544	0
600	1.5438	0
605	1.5436	0
610	1.5434	0
615	1.5432	0
620	1.543	0
625	1.5429	0
630	1.5427	0
635	1.5425	0
640	1.5424	0
645	1.5422	0
650	1.542	0
655	1.5419	0
660	1.5417	0
665	1.5416	0
670	1.5414	0
675	1.5413	0
680	1.5412	0
685	1.541	0
690	1.5409	0
700	1.5406	0
710	1.5404	0
720	1.5401	0
730	1.5399	0
740	1.5396	0
750	1.5394	0
760	1.5392	0
770	1.539	0
780	1.5387	0
790	1.5385	0
800	1.5383	0
810	1.5381	0
820	1.5379	0
830	1.5378	0
840	1.5376	0
850	1.5374	0
860	1.5372	0
870	1.537	0
880	1.5369	0
890	1.5367	0
900	1.5365	0
910	1.5364	0
920	1.5362	0
930	1.5361	0
940	1.5359	0
950	1.5357	0
960	1.5356	0
970	1.5354	0
980	1.5353	0
990	1.5351	0
1000	1.535	0
1010	1.5349	0
1020	1.5347	0
1030	1.5346	0
1040	1.5344	0
1050	1.5343	0
1060	1.5342	0
1070	1.534	0
1080	1.5339	0
1090	1.5337	0
1100	1.5336	0
1110	1.5335	0
1120	1.5333	0
1130	1.5332	0
1140	1.5331	0
1150	1.5329	0
1160	1.5328	0
1170	1.5327	0
1180	1.5326	0
1190	1.5324	0
1200	1.5323	0
1210	1.5322	0
1220	1.532	0
1230	1.5319	0
1240	1.5318	0
1250	1.5316	0
1260	1.5315	0
1270	1.5314	0
1280	1.5313	0
1290	1.5311	0
1300	1.531	0
1310	1.5309	0
1320	1.5307	0
1330	1.5306	0
1340	1.5305	0
1350	1.5303	0
1360	1.5302	0
1370	1.5301	0
1380	1.53	0
1390	1.5298	0
1400	1.5297	0
1410	1.5296	0
1420	1.5294	0
1430	1.5293	0
1440	1.5292	0
1450	1.529	0
1460	1.5289	0
1470	1.5288	0
1480	1.5286	0
1490	1.5285	0
1500	1.5284	0
1510	1.5282	0
1520	1.5281	0
1530	1.528	0
1540	1.5278	0
1550	1.5277	0
1560	1.5276	0
1570	1.5274	0
1580	1.5273	0
1590	1.5271	0
1600	1.527	0
1610	1.5269	0
1620	1.5267	0
1630	1.5266	0
1640	1.5264	0
1650	1.5263	0
1660	1.5262	0
1670	1.526	0
1680	1.5259	0
1690	1.5257	0
1700	1.5256	0
1710	1.5254	0
1720	1.5253	0
1730	1.5252	0
1740	1.525	0
1750	1.5249	0
1760	1.5247	0
1770	1.5246	0
1780	1.5244	0
1790	1.5243	0
1800	1.5241	0
1810	1.524	0
1820	1.5238	0
1830	1.5237	0
1840	1.5235	0
1850	1.5233	0
1860	1.5232	0
1870	1.523	0
1880	1.5229	0
1890	1.5227	0
1900	1.5226	0
1910	1.5224	0
1920	1.5222	0
1930	1.5221	0
1940	1.5219	0
1950	1.5218	0
1960	1.5216	0
1970	1.5214	0
1980	1.5213	0
1990	1.5211	0
2000	1.5209	0
