Wavelength(nm)	n	k
206.63	1.16	1.21
210.14	1.18	1.22
213.76	1.21	1.22
217.51	1.23	1.21
221.39	1.24	1.21
225.42	1.24	1.19
229.59	1.18	1.15
233.92	1.35	1.21
238.42	1.26	1.2
243.1	1.25	1.2
247.96	1.24	1.21
253.02	1.22	1.22
258.29	1.21	1.23
263.79	1.18	1.25
269.52	1.17	1.28
275.51	1.15	1.31
281.77	1.13	1.33
288.33	1.1	1.37
295.19	1.05	1.44
302.39	1.04	1.53
309.95	1.04	1.61
317.9	1.06	1.73
326.26	1.11	1.83
335.08	1.17	1.9
344.39	1.24	1.96
354.23	1.3	2.01
364.65	1.37	2.06
375.7	1.44	2.09
387.44	1.5	2.12
399.94	1.55	2.15
413.27	1.59	2.17
427.52	1.63	2.21
442.79	1.68	2.25
459.19	1.71	2.29
476.85	1.75	2.34
495.92	1.78	2.39
516.58	1.81	2.47
539.04	1.86	2.56
563.55	1.92	2.67
590.38	2.01	2.77
619.9	2.11	2.88
652.53	2.22	2.99
688.78	2.36	3.11
729.29	2.54	3.23
774.87	2.74	3.3
826.53	2.98	3.32
885.57	3.17	3.28
953.69	3.28	3.25
1033.17	3.35	3.3
1127.09	3.47	3.4
1239.8	3.62	3.52
