Wavelength(nm)	n	k
330	1.54393	1.002586E-06
333.12	1.5431	8.71E-07
336.89	1.5422	7.6E-07
340.65	1.5413	6.83E-07
344.41	1.5405	6.27E-07
348.17	1.5397	5.88E-07
351.93	1.5389	5.6E-07
355.68	1.5382	5.4E-07
359.43	1.5374	5.25E-07
363.18	1.5367	5.14E-07
366.93	1.5361	5.06E-07
370.68	1.5354	5E-07
374.42	1.5348	4.95E-07
378.16	1.5342	4.92E-07
381.91	1.5336	4.89E-07
385.64	1.533	4.87E-07
389.38	1.5324	4.84E-07
393.11	1.5319	4.83E-07
396.85	1.5314	4.81E-07
400.58	1.5309	4.8E-07
404.31	1.5304	4.78E-07
408.03	1.5299	4.77E-07
411.76	1.5294	4.76E-07
415.48	1.529	4.75E-07
419.2	1.5286	4.74E-07
422.92	1.5281	4.73E-07
426.63	1.5277	4.72E-07
430.35	1.5273	4.71E-07
434.06	1.5269	4.69E-07
437.77	1.5266	4.68E-07
441.48	1.5262	4.67E-07
445.18	1.5258	4.66E-07
448.89	1.5255	4.65E-07
452.59	1.5251	4.64E-07
458.5	1.5246	4.63E-07
462.2	1.5243	4.62E-07
465.9	1.524	4.61E-07
469.59	1.5237	4.59E-07
473.28	1.5234	4.58E-07
476.97	1.5231	4.57E-07
480.66	1.5228	4.56E-07
484.34	1.5225	4.55E-07
488.02	1.5223	4.54E-07
491.7	1.522	4.53E-07
495.38	1.5217	4.52E-07
499.06	1.5215	4.51E-07
502.73	1.5213	4.5E-07
506.4	1.521	4.49E-07
510.08	1.5208	4.48E-07
513.74	1.5205	4.47E-07
517.41	1.5203	4.45E-07
521.07	1.5201	4.44E-07
524.74	1.5199	4.43E-07
528.4	1.5197	4.42E-07
532.05	1.5195	4.41E-07
535.71	1.5193	4.4E-07
539.36	1.5191	4.39E-07
543.02	1.5189	4.38E-07
546.67	1.5187	4.37E-07
550.31	1.5185	4.35E-07
553.96	1.5183	4.34E-07
557.6	1.5181	4.33E-07
561.25	1.518	4.32E-07
564.89	1.5178	4.31E-07
568.52	1.5176	4.3E-07
572.16	1.5174	4.29E-07
575.79	1.5173	4.27E-07
579.43	1.5171	4.26E-07
583.06	1.517	4.25E-07
586.68	1.5168	4.24E-07
590.31	1.5167	4.23E-07
593.93	1.5165	4.22E-07
597.55	1.5164	4.21E-07
601.17	1.5162	4.19E-07
604.79	1.5161	4.18E-07
608.41	1.5159	4.17E-07
612.02	1.5158	4.16E-07
615.63	1.5157	4.15E-07
619.24	1.5155	4.14E-07
622.85	1.5154	4.13E-07
626.45	1.5153	4.11E-07
630.06	1.5151	4.1E-07
633.66	1.515	4.09E-07
637.26	1.5149	4.08E-07
640.86	1.5148	4.07E-07
644.45	1.5147	4.06E-07
648.04	1.5145	4.05E-07
651.64	1.5144	4.03E-07
655.22	1.5143	4.02E-07
658.81	1.5142	4.01E-07
662.4	1.5141	4E-07
665.98	1.514	3.99E-07
669.56	1.5139	3.98E-07
673.14	1.5138	3.97E-07
676.72	1.5137	3.96E-07
680.29	1.5135	3.94E-07
683.86	1.5134	3.93E-07
687.44	1.5133	3.92E-07
691	1.5132	3.91E-07
694.57	1.5131	3.9E-07
698.14	1.513	3.89E-07
701.7	1.513	3.88E-07
705.26	1.5129	3.87E-07
708.82	1.5128	3.85E-07
712.38	1.5127	3.84E-07
715.93	1.5126	3.83E-07
719.48	1.5125	3.82E-07
723.03	1.5124	3.81E-07
