Wavelength(nm)	n	k
206.67	1.38	1.4
208.4	1.3763	1.4172
210.17	1.3716	1.4344
211.97	1.3667	1.4516
213.79	1.3622	1.4688
215.65	1.3596	1.486
217.54	1.3594	1.5032
219.47	1.36	1.5204
221.43	1.36	1.5376
223.42	1.36	1.5548
225.45	1.36	1.572
227.52	1.36	1.5892
229.63	1.36	1.6064
231.78	1.36	1.6236
233.96	1.36	1.6408
236.19	1.36	1.6574
238.46	1.36	1.6749
240.78	1.36	1.6949
243.14	1.36	1.7166
245.54	1.3595	1.7385
248	1.3587	1.76
250.51	1.3605	1.7815
253.06	1.3691	1.8024
255.67	1.3781	1.8242
258.33	1.3807	1.8486
261.05	1.3802	1.8746
263.83	1.3811	1.9011
266.67	1.3849	1.9272
269.57	1.3907	1.9521
272.53	1.3988	1.9741
275.56	1.4078	1.9952
278.65	1.4171	2.016
281.82	1.4257	2.0375
285.06	1.4321	2.0609
288.37	1.4361	2.0867
291.76	1.4408	2.1129
295.24	1.4484	2.1382
298.8	1.4578	2.1643
302.44	1.4701	2.1927
306.17	1.4833	2.223
310	1.4945	2.2565
313.92	1.5031	2.2918
317.95	1.511	2.3234
322.08	1.5186	2.3458
326.32	1.5279	2.3662
330.67	1.5438	2.3894
335.14	1.5615	2.4154
339.73	1.5752	2.4458
344.44	1.5838	2.4802
349.3	1.5913	2.5156
354.29	1.5994	2.55
359.42	1.6084	2.5844
364.71	1.6196	2.6188
370.15	1.6329	2.6532
375.76	1.6483	2.6869
381.54	1.6655	2.7207
387.5	1.6832	2.7577
393.65	1.7004	2.8004
400	1.7176	2.844
406.56	1.7343	2.8829
413.33	1.7515	2.9214
420.34	1.7713	2.9643
427.59	1.7931	3.0116
435.09	1.8137	3.0599
442.86	1.8308	3.1072
450.91	1.8479	3.1545
459.26	1.8684	3.2002
467.92	1.8902	3.2477
476.92	1.9109	3.302
486.27	1.9317	3.3623
496	1.9571	3.424
506.12	1.9906	3.4842
516.67	2.0266	3.5444
527.66	2.0612	3.6052
539.13	2.0956	3.6652
551.11	2.13	3.7211
563.64	2.1644	3.7758
576.74	2.1988	3.8379
590.48	2.2332	3.9129
604.88	2.2676	3.9942
620	2.2986	4.0782
635.9	2.3338	4.165
652.63	2.383	4.2536
670.27	2.4438	4.3438
688.89	2.5064	4.4355
708.57	2.5657	4.5285
729.41	2.6271	4.6254
751.52	2.6926	4.7294
775	2.7626	4.8384
800	2.8388	4.9501
826.67	2.9205	5.0657
855.17	3.0053	5.1878
885.71	3.0926	5.318
918.52	3.1877	5.4567
953.85	3.2949	5.6074
992	3.4149	5.7644
1033.33	3.5495	5.9204
1078.26	3.6997	6.0787
1127.27	3.866	6.2454
1180.95	4.0491	6.4245
1240	4.25	6.62
1305.26	4.5	6.77
1377.78	4.77	6.91
1458.82	5.05	6.98
1550	5.31	7.04
1653.33	5.57	7.02
1771.43	5.71	6.83
1907.69	5.52	6.66
2066.67	5.13	6.75
2254.55	4.58	7.14
2480	3.91	7.71
